username, deviceName, position, distance, timestamp,targetPointX, targetPointY, gazePointX, gazePointY,faceTransform_0_x, faceTransform_0_y, faceTransform_0_z, faceTransform_0_w,faceTransform_1_x, faceTransform_1_y, faceTransform_1_z, faceTransform_1_w,faceTransform_2_x, faceTransform_2_y, faceTransform_2_z, faceTransform_2_w,faceTransform_3_x, faceTransform_3_y, faceTransform_3_z, faceTransform_3_w,rightEyeTransform_0_x, rightEyeTransform_0_y, rightEyeTransform_0_z, rightEyeTransform_0_w,rightEyeTransform_1_x, rightEyeTransform_1_y, rightEyeTransform_1_z, rightEyeTransform_1_w,rightEyeTransform_2_x, rightEyeTransform_2_y, rightEyeTransform_2_z, rightEyeTransform_2_w,rightEyeTransform_3_x, rightEyeTransform_3_y, rightEyeTransform_3_z, rightEyeTransform_3_w,leftEyeTransform_0_x, leftEyeTransform_0_y, leftEyeTransform_0_z, leftEyeTransform_0_w,leftEyeTransform_1_x, leftEyeTransform_1_y, leftEyeTransform_1_z, leftEyeTransform_1_w,leftEyeTransform_2_x, leftEyeTransform_2_y, leftEyeTransform_2_z, leftEyeTransform_2_w,leftEyeTransform_3_x, leftEyeTransform_3_y, leftEyeTransform_3_z, leftEyeTransform_3_w
victor,iPad Mini 6th,Middle,Regular,1714394371.293416,0.0,0.0,83.68962715695224,256.6252253792417,0.9975603,0.02185758,0.06629841,0.0,-0.008139408,0.9796581,-0.2005086,0.0,-0.06933244,0.19947982,0.9774461,0.0,0.069699615,-0.024848642,-0.3084777,1.0,0.9982403,-0.01400798,0.05761877,0.0,0.0,0.9716962,0.2362338,0.0,-0.0592971,-0.23581812,0.9699864,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.99143547,-0.03066105,0.12694694,0.0,0.0,0.97204953,0.2347757,0.0,-0.13059719,-0.23276497,0.96372443,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.2934198,0.0,0.0,84.01167014335084,257.3186900016126,0.9975678,0.021851491,0.06619066,0.0,-0.008173632,0.9797117,-0.20024595,0.0,-0.0692234,0.19921789,0.9775073,0.0,0.06968685,-0.024762677,-0.3084474,1.0,0.9982425,-0.013985978,0.057585876,0.0,0.0,0.97175044,0.23601066,0.0,-0.05925994,-0.23559588,0.97004265,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.9914402,-0.030623922,0.12691982,0.0,0.0,0.97210306,0.23455445,0.0,-0.1305621,-0.23254672,0.963782,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.293421,0.0,0.0,84.111527136461,257.091937887739,0.9975561,0.021869779,0.06636081,0.0,-0.008179537,0.9797748,-0.19993599,0.0,-0.06939119,0.19890453,0.9775591,0.0,0.06970232,-0.024700299,-0.30836457,1.0,0.99825054,-0.013953348,0.057455547,0.0,0.0,0.97175425,0.23599505,0.0,-0.05912559,-0.2355822,0.97005427,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.99145734,-0.03059143,0.12679283,0.0,0.0,0.97210616,0.23454101,0.0,-0.13043104,-0.23253742,0.96380186,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.293422,0.0,0.0,84.10871813557748,257.29793925466026,0.99755883,0.021569062,0.066417426,0.0,-0.007882344,0.9798046,-0.1998023,0.0,-0.06938566,0.19879101,0.97758263,0.0,0.06974051,-0.024666859,-0.3083664,1.0,0.9982456,-0.013970082,0.057536747,0.0,0.0,0.9717658,0.23594743,0.0,-0.059208445,-0.23553348,0.97006094,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.99144655,-0.0306044,0.12687445,0.0,0.0,0.972118,0.23449236,0.0,-0.13051341,-0.23248665,0.96380305,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.2934232,0.0,0.0,83.8816671918227,257.6373263273652,0.9975531,0.021457225,0.06653818,0.0,-0.0077585233,0.9798345,-0.19965976,0.0,-0.0694805,0.19865501,0.97760344,0.0,0.06977196,-0.024635326,-0.30835342,1.0,0.99824154,-0.013977909,0.057606265,0.0,0.0,0.9718008,0.23580325,0.0,-0.05927785,-0.23538859,0.97009194,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.99143845,-0.030599987,0.12693878,0.0,0.0,0.97215277,0.2343481,0.0,-0.13057493,-0.23234172,0.96382964,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.2934241,0.0,0.0,83.26105729449452,258.1044571976962,0.99755704,0.021438217,0.06648702,0.0,-0.0077440706,0.9798177,-0.1997441,0.0,-0.06942727,0.19874124,0.9775898,0.0,0.06980925,-0.024608523,-0.3083468,1.0,0.99821746,-0.014073386,0.057998903,0.0,0.0,0.9718001,0.23580648,0.0,-0.05968193,-0.23538615,0.9700678,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.9913864,-0.030692037,0.12732244,0.0,0.0,0.97215354,0.23434499,0.0,-0.13096946,-0.23232643,0.9637798,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.2934241,0.0,0.0,83.11025578323311,258.63086396326696,0.99755913,0.021326607,0.06649011,0.0,-0.0076213917,0.97978264,-0.19991928,0.0,-0.06940944,0.19892456,0.97755367,0.0,0.06985499,-0.024574837,-0.3083755,1.0,0.9982055,-0.014126933,0.058190666,0.0,0.0,0.9717731,0.2359171,0.0,-0.059880916,-0.23549376,0.9700293,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.9913598,-0.030753173,0.1275146,0.0,0.0,0.97212774,0.2344517,0.0,-0.13117062,-0.23242597,0.9637283,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.293425,0.0,0.0,83.30827241572808,256.73278023009226,0.9975725,0.02127924,0.06630324,0.0,-0.007618465,0.97980076,-0.19983093,0.0,-0.069216244,0.19884072,0.9775845,0.0,0.069907986,-0.024574835,-0.30844232,1.0,0.9981876,-0.014231299,0.058471773,0.0,0.0,0.9716354,0.23648392,0.0,-0.060178716,-0.23605533,0.96987444,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.99132025,-0.030896436,0.12778634,0.0,0.0,0.97199273,0.23501034,0.0,-0.13146839,-0.23297054,0.9635562,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.293426,0.0,0.0,84.62332709743751,255.52355913911748,0.99758244,0.02105171,0.06622632,0.0,-0.00741345,0.97981113,-0.19978736,0.0,-0.06909516,0.19881342,0.97759855,0.0,0.069996685,-0.02457616,-0.30855995,1.0,0.9981945,-0.014227599,0.058353685,0.0,0.0,0.97153944,0.23687747,0.0,-0.060063113,-0.23644981,0.9697854,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.99133575,-0.030920753,0.12766084,0.0,0.0,0.9718978,0.23540352,0.0,-0.13135213,-0.23336393,0.963477,0.0,0.031385038,0.030332144,0.02551128,1.0
victor,iPad Mini 6th,Middle,Regular,1714394371.293427,0.0,0.0,85.26829760668315,253.93627043561202,0.9975791,0.020863522,0.06633802,0.0,-0.0072177052,0.9798456,-0.19962598,0.0,-0.069165885,0.19866392,0.97762394,0.0,0.07008214,-0.024610631,-0.30866414,1.0,0.99819916,-0.014226511,0.058274098,0.0,0.0,0.9714691,0.23716569,0.0,-0.05998553,-0.2367386,0.9697197,0.0,-0.03132298,0.03025873,0.025565242,1.0,0.9913478,-0.030937161,0.12756321,0.0,0.0,0.9718278,0.23569173,0.0,-0.13126111,-0.23365249,0.9634194,0.0,0.031385038,0.030332144,0.02551128,1.0
