username, deviceName, position, distance, timestamp,targetPointX, targetPointY, gazePointX, gazePointY,faceTransform_0_x, faceTransform_0_y, faceTransform_0_z, faceTransform_0_w,faceTransform_1_x, faceTransform_1_y, faceTransform_1_z, faceTransform_1_w,faceTransform_2_x, faceTransform_2_y, faceTransform_2_z, faceTransform_2_w,faceTransform_3_x, faceTransform_3_y, faceTransform_3_z, faceTransform_3_w,rightEyeTransform_0_x, rightEyeTransform_0_y, rightEyeTransform_0_z, rightEyeTransform_0_w,rightEyeTransform_1_x, rightEyeTransform_1_y, rightEyeTransform_1_z, rightEyeTransform_1_w,rightEyeTransform_2_x, rightEyeTransform_2_y, rightEyeTransform_2_z, rightEyeTransform_2_w,rightEyeTransform_3_x, rightEyeTransform_3_y, rightEyeTransform_3_z, rightEyeTransform_3_w,leftEyeTransform_0_x, leftEyeTransform_0_y, leftEyeTransform_0_z, leftEyeTransform_0_w,leftEyeTransform_1_x, leftEyeTransform_1_y, leftEyeTransform_1_z, leftEyeTransform_1_w,leftEyeTransform_2_x, leftEyeTransform_2_y, leftEyeTransform_2_z, leftEyeTransform_2_w,leftEyeTransform_3_x, leftEyeTransform_3_y, leftEyeTransform_3_z, leftEyeTransform_3_w,lookAtPointX, lookAtPointY, lookAtPointZ
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.50701,0.0,0.0,795.2131847227652,870.2424556739687,0.9990908,0.029650629,0.030635642,0.0,-0.024659691,0.9880591,-0.15208799,0.0,-0.034779314,0.15119426,0.98789185,0.0,0.05510815,0.0422843,-0.7484294,1.0,0.999949,0.0019428716,-0.009905092,0.0,0.0,0.9813006,0.19248089,0.0,0.01009384,-0.1924711,0.98125064,0.0,-0.03348042,0.030363241,0.027197944,1.0,0.9979394,-0.012323812,0.06296821,0.0,0.0,0.98138106,0.19207083,0.0,-0.06416285,-0.19167505,0.97935885,0.0,0.033454467,0.030334972,0.027159443,1.0,-0.024397984,-0.14613138,0.9269519
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.5234241,0.0,0.0,772.0731374785656,875.0954051322825,0.99901986,0.030358953,0.032212958,0.0,-0.025114488,0.9880186,-0.1522783,0.0,-0.03645,0.15132003,0.9878125,0.0,0.055099096,0.042567156,-0.7487772,1.0,0.9999462,0.0019988385,-0.010176275,0.0,0.0,0.98125005,0.19273855,0.0,0.010370725,-0.19272819,0.9811973,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.9979518,-0.012303148,0.0627757,0.0,0.0,0.98133093,0.19232696,0.0,-0.06396996,-0.19193304,0.979321,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.024187349,-0.1463685,0.92693436
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.5403562,0.0,0.0,748.910618227298,864.8544333835287,0.99897337,0.030368118,0.033617374,0.0,-0.024966877,0.9882468,-0.15081362,0.0,-0.03780218,0.14981945,0.98799044,0.0,0.05507067,0.042864315,-0.7491443,1.0,0.9999451,0.0020136419,-0.010283004,0.0,0.0,0.98136115,0.19217244,0.0,0.0104783075,-0.19216189,0.98130727,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.99795884,-0.012245966,0.06267462,0.0,0.0,0.98144114,0.19176336,0.0,-0.063859776,-0.19137195,0.97943795,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.024090128,-0.14583737,0.9269739
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.5568562,0.0,0.0,734.2484464326243,874.010772195388,0.9989516,0.030335901,0.034280468,0.0,-0.02484818,0.9882993,-0.15048873,0.0,-0.03844458,0.14947915,0.98801714,0.0,0.055036787,0.042980276,-0.749443,1.0,0.9999463,0.0019852133,-0.0101747,0.0,0.0,0.98149234,0.19150162,0.0,0.010366561,-0.19149134,0.98143965,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.9979523,-0.012222666,0.062783405,0.0,0.0,0.9815721,0.19109234,0.0,-0.063962094,-0.19070104,0.9795621,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.024189582,-0.14521945,0.92708045
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.574188,0.0,0.0,727.2217366991082,869.6853889625843,0.99893785,0.03088892,0.034190234,0.0,-0.02540379,0.9882655,-0.15061767,0.0,-0.038441453,0.14958914,0.98800063,0.0,0.05501382,0.04308399,-0.74973106,1.0,0.99995154,0.0018908745,-0.009667023,0.0,0.0,0.98140216,0.19196273,0.0,0.009850216,-0.19195344,0.9813546,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.99791867,-0.012351709,0.06329048,0.0,0.0,0.98148376,0.19154544,0.0,-0.064484484,-0.19114678,0.97944105,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.024655392,-0.14563563,0.92696875
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.5921202,0.0,0.0,723.3732381439585,871.2864477470166,0.99894375,0.03096287,0.03395127,0.0,-0.02548966,0.98817253,-0.15121399,0.0,-0.038231734,0.15018891,0.9879179,0.0,0.054987494,0.043350145,-0.7498096,1.0,0.99995565,0.0018149095,-0.009235969,0.0,0.0,0.98123467,0.19281703,0.0,0.0094126,-0.19280848,0.98119116,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.99789053,-0.012489829,0.06370579,0.0,0.0,0.9813182,0.1923922,0.0,-0.064918585,-0.19198637,0.97924817,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.025049098,-0.14645025,0.92697865
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.607075,0.0,0.0,718.5134992707433,894.1036152811502,0.9989359,0.031060332,0.034093034,0.0,-0.025519777,0.98799384,-0.15237106,0.0,-0.038416408,0.1513389,0.9877351,0.0,0.054953646,0.043740846,-0.7500486,1.0,0.99995655,0.0018017135,-0.009145592,0.0,0.0,0.981142,0.19328839,0.0,0.009321374,-0.19328,0.9810994,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.99788797,-0.012527931,0.06373844,0.0,0.0,0.9812258,0.19286206,0.0,-0.06495798,-0.19245476,0.97915345,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.025125371,-0.14702202,0.92760247
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.6236029,0.0,0.0,692.1332754840063,899.4146111814056,0.9988879,0.031215366,0.035333946,0.0,-0.025463263,0.98791134,-0.15291433,0.0,-0.039680075,0.15184455,0.9876076,0.0,0.054927886,0.044319727,-0.750605,1.0,0.99995875,0.0017644019,-0.008908796,0.0,0.0,0.98094654,0.19427809,0.0,0.009081837,-0.19427007,0.98090607,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.9978753,-0.012630008,0.0639186,0.0,0.0,0.9810318,0.19384716,0.0,-0.06515446,-0.1934353,0.97894734,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.025336478,-0.14806569,0.9281087
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.6402001,0.0,0.0,678.3258049624174,925.9734635179437,0.9988696,0.030846106,0.036165267,0.0,-0.024961598,0.9878862,-0.15315965,0.0,-0.04045155,0.15208375,0.9875395,0.0,0.054904647,0.044857502,-0.7511658,1.0,0.99995804,0.0017761012,-0.008988348,0.0,0.0,0.9810308,0.19385208,0.0,0.009162147,-0.19384395,0.98098963,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.99788195,-0.012582118,0.0638212,0.0,0.0,0.98111534,0.19342335,0.0,-0.065049626,-0.19301368,0.97903734,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.025261324,-0.14771955,0.9284138
lucas,iPad Mini 6th,Middle,Arms Extended,1715166803.6569629,0.0,0.0,665.6366275755439,934.6394822606891,0.99885607,0.030649561,0.03670695,0.0,-0.024678653,0.9878707,-0.15330568,0.0,-0.04096046,0.15222444,0.9874969,0.0,0.054863606,0.045134094,-0.7512813,1.0,0.99995875,0.0017607133,-0.008907906,0.0,0.0,0.98102015,0.19390586,0.0,0.009080248,-0.19389786,0.9809797,0.0,-0.033518516,0.030363701,0.027222492,1.0,0.9978803,-0.012590782,0.063846886,0.0,0.0,0.98110485,0.19347659,0.0,-0.065076515,-0.19306648,0.9790252,0.0,0.033487722,0.030331587,0.027184853,1.0,-0.025329096,-0.1479023,0.9290793
